basin,dT_ref,Mtot_ref_Gtyr,Mtot_zero_Gtyr,Mtarget_Gtyr,obs_uncert_Gtyr,M_diff_Gtyr,slope_Gtyr_degC,in_obs_range,dT_new
0,2.000000,1163.825864,143.288667,39.850576,51.753150,-1123.975288,510.268598,0,-0.202713
1,2.000000,46.042523,3.641032,3.301475,3.501439,-42.741048,21.200745,0,-0.016016
2,2.000000,634.354107,28.526798,22.300450,19.602468,-612.053658,302.913655,0,-0.020555
3,2.000000,299.002957,19.512721,52.685536,34.614514,-246.317421,139.745118,0,0.237381
4,2.000000,386.895840,123.446912,85.776519,9.170013,-301.119321,131.724464,0,-0.285979
5,2.000000,124.840137,20.172214,20.795532,5.928376,-104.044606,52.333962,0,0.011910
6,2.000000,67.687210,10.138644,11.458845,5.587153,-56.228365,28.774283,0,0.045881
7,2.000000,5057.060486,166.816310,40.053079,82.463491,-5017.007407,2445.122088,0,-0.051843
8,2.000000,510.874217,91.242460,124.962888,24.329054,-385.911329,209.815878,0,0.160714
9,2.000000,508.030648,129.593374,184.534908,78.676149,-323.495740,189.218637,0,0.290360
10,2.000000,322.171666,47.738103,61.481957,21.302609,-260.689709,137.216781,0,0.100162
11,2.000000,824.632653,218.699404,97.333692,49.665902,-727.298961,302.966624,0,-0.400591
12,2.000000,635.877850,57.737851,23.611426,51.175697,-612.266424,289.070000,0,-0.118056
13,2.000000,150.102179,8.875624,15.302281,15.800000,-134.799899,70.613277,0,0.091012
14,2.000000,4145.032414,109.443727,54.823613,76.899520,-4090.208801,2017.794344,0,-0.027069
15,2.000000,630.944264,12.958771,26.691859,31.813951,-604.252405,308.992746,0,0.044445
