basin,dT_used,total_model_bmb_Gtyr,Mtarget_Gtyr,obs_uncert_Gtyr,M_diff_Gtyr,slope_Gtyr_degC,in_obs_range,dT_new
0,-0.905094,40.310965,39.850576,51.753150,-0.460389,113.775698,1,-0.909140
1,-0.039861,3.301475,3.301475,3.501439,-0.000000,8.518514,1,-0.039861
2,-0.071888,22.300355,22.300450,19.602468,0.000094,86.613104,1,-0.071887
3,0.475688,52.662943,52.685536,34.614514,0.022593,69.689003,1,0.476012
4,-0.467540,85.776564,85.776519,9.170013,-0.000044,80.571391,1,-0.467541
5,0.023461,20.795534,20.795532,5.928376,-0.000002,26.568326,1,0.023461
6,0.103140,11.458849,11.458845,5.587153,-0.000004,12.800123,1,0.103140
7,-0.253948,40.311872,40.053079,82.463491,-0.258793,498.150952,1,-0.254468
8,0.269001,124.962905,124.962888,24.329054,-0.000018,125.354348,1,0.269001
9,0.409877,184.534914,184.534908,78.676149,-0.000006,134.043969,1,0.409877
10,0.191393,61.481933,61.481957,21.302609,0.000024,71.809468,1,0.191393
11,-0.784152,97.346800,97.333692,49.665902,-0.013108,154.756481,1,-0.784237
12,-0.351134,23.618665,23.611426,51.175697,-0.007239,97.168562,1,-0.351209
13,0.226883,15.301952,15.302281,15.800000,0.000328,28.324416,1,0.226895
14,-0.120785,54.825394,54.823613,76.899520,-0.001781,452.194668,1,-0.120789
15,0.161165,26.689764,26.691859,31.813951,0.002095,85.198353,1,0.161190
