basin,dT,melt_model_kgm2a,obs_min_target_kgm2a,above_min_target
0,2.0000,3117.0094,-97.3233,1
1,2.0000,135.7543,-229.6350,1
2,2.0000,5451.6351,40.0833,1
3,2.0000,1023.4452,251.2513,1
4,2.0000,1162.2979,5019.1873,0
5,2.0000,992.2876,973.2536,1
6,2.0000,253.1566,558.7057,0
7,2.0000,7605.0400,-87.3033,1
8,2.0000,2779.4027,2575.5170,1
9,2.0000,4212.6124,8556.0738,0
10,2.0000,1940.6936,1228.8759,1
11,2.0000,4261.0251,971.8792,1
12,2.0000,2118.3638,-565.2364,1
13,2.0000,1601.5627,11.9820,1
14,2.0000,6754.2826,-51.7638,1
15,2.0000,2145.0247,-58.8040,1
