basin,dT,melt_model_kgm2a,obs_min_target_kgm2a,above_min_target
0,2.0000,6234.0188,-97.3233,1
1,2.0000,271.5086,-229.6350,1
2,2.0000,10903.2702,40.0833,1
3,2.0000,2046.8904,251.2513,1
4,2.0000,2324.5958,5019.1873,0
5,2.0000,1984.5752,973.2536,1
6,2.0000,506.3133,558.7057,0
7,2.0000,15210.0800,-87.3033,1
8,2.0000,5558.8054,2575.5170,1
9,2.0000,8425.2248,8556.0738,0
10,2.0000,3881.3872,1228.8759,1
11,2.0000,8522.0502,971.8792,1
12,2.0000,4236.7276,-565.2364,1
13,2.0000,3203.1254,11.9820,1
14,2.0000,13508.5653,-51.7638,1
15,2.0000,4290.0493,-58.8040,1
