basin,dT,total_model_bmb_Gtyr,obs_min_total_Gtyr,above_min_total
0,2.0000,1163.8259,-11.9026,1
1,2.0000,46.0425,-0.2000,1
2,2.0000,634.3541,2.6980,1
3,2.0000,299.0030,18.0710,1
4,2.0000,386.8958,76.6065,1
5,2.0000,124.8401,14.8672,1
6,2.0000,67.6872,5.8717,1
7,2.0000,5057.0605,-42.4104,1
8,2.0000,510.8742,100.6338,1
9,2.0000,508.0306,105.8588,1
10,2.0000,322.1717,40.1793,1
11,2.0000,824.6327,47.6678,1
12,2.0000,635.8779,-27.5643,1
13,2.0000,150.1022,-0.4977,1
14,2.0000,4145.0324,-22.0759,1
15,2.0000,630.9443,-5.1221,1
