basin,dT,total_model_bmb_Gtyr,obs_min_total_Gtyr,above_min_total
0,2.0000,2327.6517,-11.9026,1
1,2.0000,92.0850,-0.2000,1
2,2.0000,1268.7082,2.6980,1
3,2.0000,598.0059,18.0710,1
4,2.0000,773.7917,76.6065,1
5,2.0000,249.6803,14.8672,1
6,2.0000,135.3744,5.8717,1
7,2.0000,10114.1210,-42.4104,1
8,2.0000,1021.7484,100.6338,1
9,2.0000,1016.0613,105.8588,1
10,2.0000,644.3433,40.1793,1
11,2.0000,1649.2653,47.6678,1
12,2.0000,1271.7557,-27.5643,1
13,2.0000,300.2044,-0.4977,1
14,2.0000,8290.0648,-22.0759,1
15,2.0000,1261.8885,-5.1221,1
