basin,dT,melt_model_kgm2a,obs_max_target_kgm2a,below_max_target
0,-2.0000,7.4432,737.3539,1
1,-2.0000,0.0000,1440.0750,1
2,-2.0000,0.0000,693.5167,1
3,-2.0000,0.0183,1894.1087,1
4,-2.0000,43.4574,6809.6094,1
5,-2.0000,1.2199,2333.8712,1
6,-2.0000,2.1687,1694.2228,1
7,-2.0000,0.0125,249.9892,1
8,-2.0000,15.3395,3813.3747,1
9,-2.0000,66.2159,9999.1926,1
10,-2.0000,10.3388,2553.8493,1
11,-2.0000,74.2984,3029.9583,1
12,-2.0000,0.2212,1517.4137,1
13,-2.0000,0.0000,1276.0020,1
14,-2.0000,0.0000,308.5238,1
15,-2.0000,0.0000,651.6495,1
