basin,dT,total_model_bmb_Gtyr,obs_max_total_Gtyr,below_max_total
0,-2.0000,2.7791,106.3889,1
1,-2.0000,0.0000,25.1476,1
2,-2.0000,0.0000,75.9314,1
3,-2.0000,0.0053,95.6740,1
4,-2.0000,14.4657,98.6670,1
5,-2.0000,0.1535,28.2649,1
6,-2.0000,0.5798,18.5329,1
7,-2.0000,0.0083,186.8914,1
8,-2.0000,2.8195,167.8592,1
9,-2.0000,7.9855,346.8412,1
10,-2.0000,1.7163,88.7441,1
11,-2.0000,14.3789,173.9312,1
12,-2.0000,0.0664,93.3853,1
13,-2.0000,0.0000,32.8180,1
14,-2.0000,0.0000,140.8097,1
15,-2.0000,0.0000,64.4087,1
