basin,dT,melt_model_kgm2a,obs_mean_kgm2a,obs_uncert_kgm2a,in_obs_range
0,0.0000,383.7620,320.0153,417.3386,1
1,0.0000,10.7354,605.2200,834.8550,1
2,0.0000,245.1591,366.8000,326.7167,1
3,0.0000,66.7893,1072.6800,821.4287,0
4,0.0000,370.8546,5914.3984,895.2111,0
5,0.0000,160.3382,1653.5624,680.3088,0
6,0.0000,37.9195,1126.4642,567.7585,0
7,0.0000,250.8660,81.3429,168.6463,0
8,0.0000,496.4031,3194.4458,618.9289,0
9,0.0000,1074.5939,9277.6332,721.5594,0
10,0.0000,287.5642,1891.3626,662.4867,0
11,0.0000,1130.0591,2000.9188,1029.0396,1
12,0.0000,192.3479,476.0886,1041.3251,1
13,0.0000,94.7013,643.9920,632.0100,1
14,0.0000,178.3373,128.3800,180.1438,1
15,0.0000,44.0560,296.4227,355.2267,1
