basin,dT,total_model_bmb_Gtyr,obs_total_Gtyr,obs_uncert_Gtyr,in_obs_range
0,0.0000,143.2887,39.8506,51.7531,0
1,0.0000,3.6410,3.3015,3.5014,1
2,0.0000,28.5268,22.3004,19.6025,1
3,0.0000,19.5127,52.6855,34.6145,1
4,0.0000,123.4469,85.7765,9.1700,0
5,0.0000,20.1722,20.7955,5.9284,1
6,0.0000,10.1386,11.4588,5.5872,1
7,0.0000,166.8163,40.0531,82.4635,0
8,0.0000,91.2425,124.9629,24.3291,0
9,0.0000,129.5934,184.5349,78.6761,1
10,0.0000,47.7381,61.4820,21.3026,1
11,0.0000,218.6994,97.3337,49.6659,0
12,0.0000,57.7379,23.6114,51.1757,1
13,0.0000,8.8756,15.3023,15.8000,1
14,0.0000,109.4437,54.8236,76.8995,1
15,0.0000,12.9588,26.6919,31.8140,1
