start_date,end_date,dt_years,retreat_km2,advance_km2,net_km2,retreat_rate_km2_per_yr,advance_rate_km2_per_yr,net_rate_km2_per_yr,front_perimeter_km,linear_retreat_rate_m_per_yr,n_retreat_points,point_rate_mean_m_per_yr,point_rate_median_m_per_yr,point_rate_p10_m_per_yr,point_rate_p25_m_per_yr,point_rate_p75_m_per_yr,point_rate_p90_m_per_yr,point_rate_max_m_per_yr,point_rate_min_m_per_yr,n_front_points,front_rate_mean_m_per_yr,front_rate_median_m_per_yr,front_rate_p10_m_per_yr,front_rate_p25_m_per_yr,front_rate_p75_m_per_yr,front_rate_p90_m_per_yr,front_rate_max_m_per_yr,front_rate_min_m_per_yr
1997-10-01,2000-03-15,2.4531143052703626,27091.5,11452.0,-15639.5,11043.71693638393,4668.3515625,-6375.365373883929,54586.0,202.3177543030068,108366,4983.12451171875,3920.60498046875,203.82254028320312,1019.1127319335938,8114.59521484375,11594.619140625,20100.044921875,203.82254028320312,12474,2075.484375,203.82254028320312,203.82254028320312,203.82254028320312,1152.994384765625,8056.270849609392,20100.044921875,203.82254028320312
2000-03-15,2000-10-01,0.5475701574264202,14958.75,1847.5,-13111.25,27318.417187500003,3373.9968750000003,-23944.420312500002,52394.0,521.4035421517732,59835,21155.36328125,16436.25,913.125,1826.25,37181.12109375,50643.46484375,73192.5390625,913.125,11836,5250.91943359375,913.125,913.125,913.125,1826.25,5775.109375,73192.5390625,913.125
2000-10-01,2001-03-15,0.4517453798767967,8229.25,2927.5,-5301.75,18216.567045454547,6480.420454545455,-11736.146590909091,52189.0,349.04993476507593,32917,11769.8544921875,4695.83203125,1106.8182373046875,1106.8182373046875,16115.515625,29001.98593750012,96521.90625,1106.8182373046875,9899,5245.8525390625,1106.8182373046875,1106.8182373046875,1106.8182373046875,3130.5546875,15054.3544921875,96521.90625,1106.8182373046875
2001-03-15,2002-03-15,0.999315537303217,6418.75,5592.75,-826.0,6423.146404109589,5596.580650684931,-826.5657534246575,50834.0,126.35532132253195,25675,8256.5517578125,6504.4521484375,500.34246826171875,2001.369873046875,12863.7646484375,18914.00390625,32150.654296875,500.34246826171875,2916,3123.949951171875,500.34246826171875,500.34246826171875,500.34246826171875,1501.02734375,10607.96630859375,32150.654296875,500.34246826171875
2002-03-15,2003-03-15,0.999315537303217,7002.0,4839.5,-2162.5,7006.795890410959,4842.814726027397,-2163.9811643835615,50814.0,137.89105148996256,28008,10452.4033203125,9061.587890625,707.5911254882812,3002.0546875,17011.64453125,22403.947265625,30826.943359375,500.34246826171875,2911,5364.36474609375,707.5911254882812,500.34246826171875,500.34246826171875,5627.364013671875,23151.31640625,30826.943359375,500.34246826171875
2003-03-15,2004-03-15,1.002053388090349,4455.0,2552.25,-1902.75,4445.870901639344,2547.0199795081967,-1898.8509221311476,50493.0,88.04925240408264,17820,1956.841064453125,498.97540283203125,498.97540283203125,498.97540283203125,997.9508056640625,5689.19482421875,24938.7890625,498.97540283203125,10790,937.9635009765625,498.97540283203125,498.97540283203125,498.97540283203125,705.6577758789062,1115.742919921875,24938.7890625,498.97540283203125
2004-03-15,2005-03-15,0.999315537303217,2957.25,5162.75,2205.5,2959.27551369863,5166.286130136987,2207.010616438356,50955.0,58.07625382589796,11829,5160.8955078125,1804.0103759765625,500.34246826171875,500.34246826171875,8144.9853515625,15901.1318359375,27523.384765625,500.34246826171875,3441,1579.9722900390625,500.34246826171875,500.34246826171875,500.34246826171875,1000.6849365234375,2694.4267578125,27523.384765625,500.34246826171875
2005-03-15,2006-03-15,0.999315537303217,2600.75,4195.25,1594.5,2602.5313356164384,4198.12345890411,1595.5921232876713,50535.0,51.499581193557695,10403,3285.35693359375,1415.1822509765625,500.34246826171875,500.34246826171875,4245.54638671875,9559.029296875,22218.810546875,500.34246826171875,3389,1663.3609619140625,500.34246826171875,500.34246826171875,500.34246826171875,1415.1822509765625,3907.799560546875,22218.810546875,500.34246826171875
2006-03-15,2007-03-15,0.999315537303217,1497.5,4296.25,2798.75,1498.525684931507,4299.192636986301,2800.6669520547944,50303.0,29.789986381160304,5990,2676.099609375,1000.6849365234375,500.34246826171875,500.34246826171875,3164.443603515625,8005.4794921875,17732.181640625,500.34246826171875,2428,1578.614990234375,500.34246826171875,500.34246826171875,500.34246826171875,1118.7998046875,3203.7548828125,17732.181640625,500.34246826171875
2007-03-15,2008-03-15,1.002053388090349,4741.75,7435.25,2693.5,4732.033299180328,7420.013831967213,2687.9805327868853,50230.0,94.20731234681122,18967,3135.61767578125,1799.0814208984375,498.97540283203125,705.6577758789062,4490.77880859375,8045.73681640625,17464.138671875,498.97540283203125,4648,1924.1634521484375,997.9508056640625,498.97540283203125,498.97540283203125,1799.0814208984375,4733.6962890625,17464.138671875,498.97540283203125
