year,corrected_Gt_per_yr,uncorrected_Gt_per_yr,GroundinglineMassFlux_Gt_per_yr
1995.08333333333,2068.46082614326,1877.0033851655,1951.70104799673
1996,2028.87091226807,1845.95735529644,1925.7783439994
1997,1990.62365806827,1822.06687839316,1893.52433734179
1998,1957.89742383007,1799.01919445431,1867.12355137106
1999,1944.31994514746,1784.01735060417,1847.20525203171
2000,1931.19055354717,1782.39355738108,1831.45626001911
2001,1922.2355592285,1764.36673868458,1817.71213482465
2002,1897.41913642285,1743.16500185634,1805.48697196174
2003,1888.41497545479,1733.36106248211,1795.31276167664
2004,1885.52381059957,1729.61452678523,1783.0274715212
2005,1868.38446440686,1703.10658779998,1773.16429451498
2006,1871.01333140098,1707.5410669252,1764.55752314849
2007,1862.3746704305,1702.75497005744,1757.32143006516
2008,1853.37727744117,1699.46167842663,1750.64783336889
2009,1845.84154383216,1688.73802772001,1744.71155060495
2010,1823.16475699419,1666.15432137811,1738.84956122588
2011,1830.82010495016,1679.1686941856,1735.66553614385
2012,1826.81387794792,1676.32768322252,1727.6897172798
2013,1821.8822874865,1672.5830721978,1725.14106274074
2014,1822.83761713667,1671.31174481722,1721.05814117345
2015,1818.33748497495,1671.59349512115,1717.47460580303
