year,glflux_native_mesh_Gt_per_yr,GroundinglineMassFlux_Gt_per_yr
1995.08333333333,2061.39344792447,1951.69957465373
1996,2026.97449636254,1925.72116853978
1997,1998.73781456059,1893.41189774464
1998,1957.42822767186,1866.97881938735
1999,1941.89155279573,1847.03050665722
2000,1927.67802843814,1831.25825377839
2001,1922.96194853164,1817.45602108927
2002,1900.94043658272,1805.18044788319
2003,1883.89985075298,1795.03255118376
2004,1880.73742323239,1782.60488977565
2005,1868.75571278771,1772.8600407761
2006,1866.6514597246,1764.25451094036
2007,1862.84361192079,1757.02362279292
2008,1853.48882311097,1750.29206905548
2009,1841.57772959113,1744.46136702968
2010,1835.76935286804,1738.63664902291
2011,1831.6693201143,1735.62009823422
2012,1833.41795051114,1727.61229125568
2013,1817.93268748659,1725.19836426987
2014,1829.69741783436,1721.01995462822
2015,1817.25269536722,1717.38617904453
